Day,netflix,meme,birdbox,aquaman
2018-07-12,39,47,<1,1
2018-07-13,40,49,<1,1
2018-07-14,46,41,<1,1
2018-07-15,50,41,<1,1
2018-07-16,45,43,<1,2
2018-07-17,44,46,<1,2
2018-07-18,39,46,<1,2
2018-07-19,38,48,<1,2
2018-07-20,41,47,<1,2
2018-07-21,49,40,<1,8
2018-07-22,54,39,<1,10
2018-07-23,42,41,<1,6
2018-07-24,39,42,<1,4
2018-07-25,43,44,<1,3
2018-07-26,43,46,<1,2
2018-07-27,47,46,<1,2
2018-07-28,54,40,<1,2
2018-07-29,59,38,<1,2
2018-07-30,48,39,<1,1
2018-07-31,43,43,<1,1
2018-08-01,44,44,<1,1
2018-08-02,43,44,<1,1
2018-08-03,43,45,<1,1
2018-08-04,47,40,<1,1
2018-08-05,53,38,<1,1
2018-08-06,42,39,<1,1
2018-08-07,39,43,<1,1
2018-08-08,40,42,<1,1
2018-08-09,37,43,<1,1
2018-08-10,40,44,<1,1
2018-08-11,50,38,<1,1
2018-08-12,53,37,<1,1
2018-08-13,43,40,<1,1
2018-08-14,41,41,<1,1
2018-08-15,40,45,<1,1
2018-08-16,39,42,<1,1
2018-08-17,41,45,<1,1
2018-08-18,52,38,<1,1
2018-08-19,57,36,<1,1
2018-08-20,43,39,<1,1
2018-08-21,40,42,<1,1
2018-08-22,39,44,<1,1
2018-08-23,39,44,<1,1
2018-08-24,42,45,<1,1
2018-08-25,53,38,<1,1
2018-08-26,57,37,<1,1
2018-08-27,42,39,<1,1
2018-08-28,40,43,<1,1
2018-08-29,38,46,<1,1
2018-08-30,38,46,<1,1
2018-08-31,40,48,<1,1
2018-09-01,48,40,<1,1
2018-09-02,53,39,<1,1
2018-09-03,57,39,<1,1
2018-09-04,42,42,<1,1
2018-09-05,38,48,<1,1
2018-09-06,36,50,<1,1
2018-09-07,37,53,<1,1
2018-09-08,51,43,<1,1
2018-09-09,51,44,<1,1
2018-09-10,40,45,<1,1
2018-09-11,36,48,<1,1
2018-09-12,36,49,<1,1
2018-09-13,36,50,<1,1
2018-09-14,39,49,<1,1
2018-09-15,47,42,<1,1
2018-09-16,48,41,<1,1
2018-09-17,38,46,<1,1
2018-09-18,38,47,<1,1
2018-09-19,38,48,<1,1
2018-09-20,35,48,<1,1
2018-09-21,41,51,<1,1
2018-09-22,56,41,<1,1
2018-09-23,56,41,<1,1
2018-09-24,42,45,<1,1
2018-09-25,38,48,<1,1
2018-09-26,37,52,<1,1
2018-09-27,33,52,<1,1
2018-09-28,36,53,<1,1
2018-09-29,46,45,<1,1
2018-09-30,49,43,<1,1
2018-10-01,38,47,<1,<1
2018-10-02,36,50,<1,1
2018-10-03,36,51,<1,1
2018-10-04,36,51,<1,1
2018-10-05,39,51,<1,3
2018-10-06,46,42,<1,4
2018-10-07,49,39,<1,2
2018-10-08,41,45,<1,1
2018-10-09,36,47,<1,1
2018-10-10,39,48,<1,1
2018-10-11,39,50,<1,1
2018-10-12,41,49,<1,1
2018-10-13,53,39,<1,1
2018-10-14,56,40,<1,1
2018-10-15,42,44,<1,1
2018-10-16,42,50,<1,1
2018-10-17,39,50,<1,1
2018-10-18,37,49,<1,1
2018-10-19,41,51,<1,1
2018-10-20,51,40,<1,1
2018-10-21,55,40,<1,1
2018-10-22,44,46,<1,1
2018-10-23,38,49,<1,1
2018-10-24,36,48,1,1
2018-10-25,39,50,1,1
2018-10-26,47,51,1,1
2018-10-27,56,41,1,1
2018-10-28,56,40,1,2
2018-10-29,43,46,<1,1
2018-10-30,41,47,<1,1
2018-10-31,44,51,<1,1
2018-11-01,46,49,<1,1
2018-11-02,46,49,<1,1
2018-11-03,54,42,<1,1
2018-11-04,52,40,<1,1
2018-11-05,39,44,<1,1
2018-11-06,35,50,<1,1
2018-11-07,30,46,<1,1
2018-11-08,34,49,<1,1
2018-11-09,40,50,<1,1
2018-11-10,49,43,<1,1
2018-11-11,52,42,<1,2
2018-11-12,41,45,<1,1
2018-11-13,36,47,<1,1
2018-11-14,36,51,<1,1
2018-11-15,37,50,<1,1
2018-11-16,39,51,<1,2
2018-11-17,47,43,<1,2
2018-11-18,51,43,<1,2
2018-11-19,41,48,<1,3
2018-11-20,39,52,<1,4
2018-11-21,44,53,<1,4
2018-11-22,49,64,1,5
2018-11-23,49,41,<1,4
2018-11-24,53,40,<1,4
2018-11-25,55,39,<1,4
2018-11-26,39,41,<1,3
2018-11-27,36,47,<1,4
2018-11-28,37,49,1,3
2018-11-29,36,50,<1,3
2018-11-30,38,51,<1,4
2018-12-01,52,42,<1,5
2018-12-02,55,40,<1,6
2018-12-03,47,44,2,5
2018-12-04,40,48,<1,4
2018-12-05,38,50,<1,4
2018-12-06,36,49,<1,4
2018-12-07,39,49,<1,5
2018-12-08,52,41,1,7
2018-12-09,56,40,1,10
2018-12-10,44,46,1,7
2018-12-11,38,48,1,7
2018-12-12,39,50,1,8
2018-12-13,38,49,1,8
2018-12-14,42,48,1,10
2018-12-15,54,42,1,12
2018-12-16,55,41,1,14
2018-12-17,43,45,1,9
2018-12-18,41,47,2,10
2018-12-19,43,49,2,10
2018-12-20,47,49,2,14
2018-12-21,52,50,10,29
2018-12-22,63,43,32,38
2018-12-23,69,44,39,37
2018-12-24,76,49,55,31
2018-12-25,90,59,57,33
2018-12-26,85,39,60,32
2018-12-27,89,41,88,26
2018-12-28,91,44,99,24
2018-12-29,97,43,100,29
2018-12-30,89,45,77,29
2018-12-31,82,47,60,22
2019-01-01,85,51,42,23
2019-01-02,76,41,39,18
2019-01-03,65,46,37,13
2019-01-04,61,48,25,13
2019-01-05,71,43,24,19
2019-01-06,74,44,23,18
